分類,項目,内容,参照,実装ブランチ,備考
残課題,項目22 パネル追加ボタン,右上からタブ追加。ImGui docking APIの制約調査済,todo-open #22,,【2026-08-04 指示】? ← 要判断  /  【調査 2026-08-04】Browse は実装済み —— core/main.cpp:19388 rbPlusButton が GetWindowDockID を読み、33639 の dockInto でタブとして着地する(todo-open #22 が『順序の罠』と呼んだ1フレーム遅延も解決)。他パネルは core/main.cpp:22758 の View>Panels が bool の singleton のままで健在(項目は12個に増えている)。todo-open #22 の3問(表示中のものも『ここへ移動』として出すか/全パネルかドック済みだけか/View>Panels を残すか)が未回答=Fable → 実装=Opus
残課題,項目23 数値書式の一般解,11種の書式が散在。方針決めから,todo-open #23,,"【2026-08-04 指示】? ← 要判断  /  【調査 2026-08-04】コピー経路は解決済み —— copyPerFrameStats(core/main.cpp:16717)は ExportDoc 経由になり、数値は expNum(16608, %.9g)の1関数を通る。表示側は健在で、製品コードに書式リテラル14種(%.6g が47回ほか)、書式を決める関数が3つ(textNum 13344 / fmtVal 11475 / textStat 13355)。todo-open #23 の4択(量ごと/dtype由来/アプリ全体設定/表ごと)を1つ選ぶまで着手不可=Fable"
残課題,共有測定カーネル+parity,σ_t CFA/NaNの二重実装解消。単体テスト必須化,TODO_one_implementation,,【2026-08-04 指示】今重複している箇所をまず洗い出して、Fable に相談
残課題,未着手測定,DSNU/PRNU/欠陥画素/blink・RTS/DR/暗電流/時間平均出力,stats-taxonomy.md,,平坦統計レビュー後  /  【2026-08-04 指示】? ← 要判断  /  【調査 2026-08-04】本行は課題ではなく docs/stats-taxonomy.md 5節の優先度つきギャップ7件へのポインタ。うち SNRカーブは既に対応済み。残りは DSNU/PRNU(EMVA準拠)・欠陥画素・blink/RTS・DR・暗電流・時間平均フレーム出力で、plugins/ に EMVA 系は存在しない。『平坦統計仕様』の凍結解除待ちで単独では着手できない。切り出すなら EMVA DSNU/PRNU が最上位(本体は『この stack を dark として使う』指定UI)
残課題,フォーマット,OpenEXR(公式lib)/動画(ffmpeg)/ベタRAWリモート/params_schema,todo-open ほか,,【2026-08-04 指示】? ← 要判断  /  【調査 2026-08-04】本行は重複 —— OpenEXR / 動画 / 形式戦略は別行に実測とブランチ名つきで分離済み。残る残渣は2点だけ: (a) ベタRAWのリモート —— peer は npy 専用(core/serve.cpp、クライアント側の門は core/main.cpp:22898 isNpyName)でローカルの RAW 読みだけがある (b) params_schema —— include/ps/ps_plugin.h:112 と 136 が両方 reserved のまま、docs/measure-ux.md:93 が『ABI v2 の未実装項目』と明記
暫定対応したが後で直す,derive-stackのコピー方式,参照化で置換(選択と実体化は分離済みで差替は1関数),ref-design,c72fcdb,今回の設計の主対象  /  【2026-08-04 指示】Dialogue が必要十分でないので、仕様を Fable に相談
対応済み,compare-n の棚卸し(実機で3個以上にならない / 2前提の文言 / レイアウト),A/Bに載せた暫定。compare-n.mdのスロット列一本化へ  ── 75e5369 でキャッシュの N 化とパネルの N 読みが入った。Statistics/Histogram は全スロットに行を与え、プロットに出せないものは letter を名指しする(selftest が『表の行 ⊆ 曲線 ∪ 言及』という等式を守る)。色は slotInk に一本化され Temporal チャートと共有 —— スロットの色であってパネルの色ではない。未着手として明示: slots[0..] への一本化(§8-1、約50箇所、挙動不変)と、グリッド / side-by-side をユーザーが選ぶモードにする件(§11 に見積もり)。文書の誤りも1つ直った —— temporalExtra は compare-n.md が書かれた日に既に入っており、『temporal[2] も N 化が要る』は最初から誤りだった  ── 【2026-08-04 実機報告】75e5369 を入れた後も「histogram とか projection が3個以上にならん」。訂正: 私は『パネルが N を読む』と報告したが、N 化されたのは『渡されたものを N 個扱えるか』の側だけで、『N 個渡せるか』の側は誰も見ていなかった。selftest の等式(表の行 ⊆ 曲線 ∪ 言及)は**空集合でも成り立つ**ので、スロットが3つ以上 armed になるかは検査していない。私のブリーフがそこを書いていなかった。同時に報告された『Inspector の A/B: auto over both の文言』も同じ性質 —— 「both」は2つ前提の語で、3つ以上になった瞬間に嘘になる。つまり N 化は配列の話であると同時に語彙の話でもあり、terminology.md の管轄。分かっているだけで (1) スロットを3つ以上 armed にする経路 (2) Projection が実機で N か (3) 2前提の文言が他にどれだけあるか (4) レイアウト(グリッド/side-by-side をユーザーが選ぶ)—— 個別のパッチではなく棚卸しの形なので Fable 案件へ。入っている部分(キャッシュの N 化・パネルの読み側・slotInk の共有・等式の selftest)は棚卸しの土台として正しいので残す  ── 【Fable 2026-08-06】fd539da(PR #85)。診断が逆転した: arming は壊れていない(N5 が実バイナリで C/D/E を実経路から arm して証明)。実欠陥は Projection がA と B しか描かず黙っていたこと —— 等式が沈黙の中で破られていた。沈黙を修正(落とした letter を画面で名指し、g_projSideProbe、N6 が今日の curves=AB を意図的に固定)。オーバーレイ自体は設計判断を含むので §12 I7 として仕様化のみ。2前提の文言8件を修正、3件は理由つきで『問題なし』。§12 に I6(レイアウトのモード列挙・永続化・arm 安定性の不変条件・N-blink の巡回順)。ユーザー判断4件が §12 に残る: AbAuto の N での解決 / plane selector の共有 / 大 N で縮むかスクロールか / 『A/B』という機能名そのもの,compare-n.md,fd539da (main) / https://github.com/klimemam/viewer/issues/60,"レビュー後に本実装  /  【2026-08-04 指示】問題ある? 無ければクローズ ← 要確認  /  【検証 2026-08-04】不具合は無いが負債は1円も返っていない、というのが答え。スイートは緑で letter の仕組みも固定されている(tile T7, abstats S4/S6/A9)。ただし暫定と記録された形がそのまま残っている: docs/compare-n.md:34-40 が1本の slots[0..] に畳めと言う compareBUid(486)+cmpExtra(534)の二重表現は畳まれておらず compareBUid は今も約15箇所から呼ばれる。hist[2](598)と temporal[2](1358)は固定2のままで、compare-n.md:97-100 がそれを『これが済むまで Histogram に C 以降は出せない』と名指ししている。観測できる結果は実在して静か —— drawPanelHistogram(13866-13884)は hist[0]/hist[1] しか読まないので、スロット C・D・E を立てても Statistics/Histogram パネルは A と B だけを見せ、残りについて何も言わない(Projection と Temporal は N 化済み)。これを許容するかは仕様判断で、許容するなら『暫定を仕様として受け入れ』て compare-n.md の §1/§4 計画を削除、許容しないなら次の一歩はキャッシュの N 化(順序は compare-n.md が既に決めている)  /  【実装 2026-08-04 branch compare-n】沈黙の方は返済済み。hist[2] を histExtra (projExtra/temporalExtra と同じ cmpExtra 添字=文字のベクタ) にし、Statistics/Histogram パネルが全スロットを読むようにした —— 表は全スロットに行を与え、プロットは1面に絞られていれば slotInk で全部重ね、重ねられないとき (CFA 全面 / side-by-side / 配色7色を超える) は理由と文字を名指しして退く。selftest の N 群が rows ⊆ curves ∪ said-no-curve を検査し、表を2件で打ち切る突然変異で赤くなることを確認済み。temporalSlotInk は slotInk に改名・前方移動して Histogram と Temporal が同じ配色を共有する (色はパネルではなくスロットの持ち物)。なお compare-n.md §4 の「hist と temporal の両方」は誤りだった —— temporalExtra は文書と同日の 0f3020b で既に入っており、残っていたのは hist 一本。未了は2つ: (1) compareBUid+cmpExtra → slots[0..] の一本化(§8-1、約50箇所、挙動不変の機械作業) は手つかず (2) グリッド/side-by-side のモード化 (§10 のユーザー判断) は未着手 —— tileLayout は TilePane{x0,w} だけの1行専用なので y0/h の追加と drawCanvas・バッジ probe・tile T 群の追随、加えてモード enum と永続化が要る  /  【2026-08-04 判断】「色々と穴がありそうだから fable 案件にしよう」  /  【棚卸し 2026-08-06 branch compare-n-audit】(1) アーミング経路は壊れていない — Files 行メニューの判断を slotRowItem() に出し (abRowItem と同じ理由)、selftest N5 が C・D・E をその門を通して armed にし、5側が行と曲線に出ることを実機で固定。『等式は空集合でも成り立つ』の穴は N5 の前提条件で塞いだ (2) 『projection が3個以上にならん』の正体はチャート側 — projExtra への供給と表の行は N だが、プロファイル曲線はスロットを一度も撫でていなかった。今は画面が letter を名指しして言う (g_projSideProbe + selftest N6)。重ねる本体は compare-n.md §12 I7 として仕様化 (3) 2前提の文言を修正: auto over both (union) → auto over every side (union) / B uses A's range → every side uses A's range / Overlay (A solid, B dashed) → (every side on one plot) (dash は既に存在しない描き方) / Split を2枚専用に数えていたスロット項目ツールチップ / bins both sides → bins every side / ヘルプの比較サイクル (diff・blink 欠落)。manual.md・startup.md の引用も同時更新 (4) レイアウトのモード化は §12 I6 として仕様化 — enum (LayoutRow/LayoutGrid)+列数明示、セッション compare 行に追記、armed で動かない不変条件 (T 群に追加する検査文つき)、N-blink の巡回順 (スロット順)、チップの文言。開いている判断4件 (AbAuto の N 解決 / projection plane セレクタの共有 / 大 N はスクロールか縮むか / A/B という機能名) は §12 末尾に名指し — ここはユーザー裁定待ち"
対応済み,フレームリニアリティ残 — Series Analysis パネルへ移設で2/3解消,設定のセッション未保存(→ seriespanel 行で保存)/単一stackローカルのみ(→ series の家そのもの)は解消。rev4原文未照合のみ残置(-style / NOT verified ラベルは全て存続),,79488d3 → PR #102 131e18f (main),"A/B側は案内ヘッダのみ  /  【2026-08-04 指示】継続課題。仕様確定済み(docs/analysis-layers.md, 2026-08-06)— 着手可"
対応済み,Projection小数桁UI,1表専用の暫定。一般解は項目23,,6047aab,"【2026-08-04 指示】解決したと思う ← 要確認  /  【検証 2026-08-04】6047aab の暫定はそのまま健在で、狙いどおり1表1つまみのまま —— app.projDecimals(1402)/textStat(13355)/コンボ(14675-14690)/prefs 永続(5893,7026)。textStat の呼び出しは10箇所すべて Projection の profile statistics 表の中(14810-14882)で他表に漏れておらず、TSV は意図的に表示桁を無視する(14718-14720)。一般解は『項目23 数値書式の一般解』の行が持っており、ユーザー指示(todo-open.md:1110)の『暫定UI + 本来は Fable TODO』は両方満たされている。重複として閉じる"
対応済み,B遅延throttle: 根拠を再測定し、throttle は据え置き,再測定完了（同じ実験を同じ形で）: compare off 12.31ms / CmpSplit+follow throttleあり 12.75ms / --no-ab-throttle 24.57ms。B 込み draw は compare off より +12.3ms でab-stats-plan.md の 8ms 閾値を依然超えるので throttle は維持。フィクスチャを gen_testdata.py --bench に追加（bench_ab_a/b.npy = 6枚×4000x3000 u16 の 2 スタック）し、パネル配置を --bench-panels で明示化したので、この実験は今後再現できる,docs/ab-stats-plan.md:19-23 / tools/gen_testdata.py / core/main.cpp --bench-panels,throttle-and-update,A4回答の後半  /  【2026-08-04 指示】解決したと思う ← 要確認  /  【検証 2026-08-04】半分は済、残りは行の記述どおり。A4 の可視化は 35d31d8 で完了(stale が side と共に運ばれ両レイアウトが淡色化、TSV に (stale))。throttle 自体も推測ではなく f424dae で実測済み —— 12.0Mpx(4000x3000 u16)2スタック×6枚・全パネル展開・--bench 300 --bench-step で compare off 11.91ms / P1 16.08ms(+4.2)/ P2 23.88ms(+12.0)、ab-stats-plan.md:19-23 が指定した実験そのもので 8ms の閾値を超えている。2a05e8c が期限切れ後の起床漏れも修正。未了なのは 138da0d が明記した『比較対象のコストが変わったので根拠を測り直す』の方で、git log -S abStepBusyUntil は f424dae/2a05e8c/6560498 のみ、以後に median frame time を持つコミットは無い。測れない理由も記録に値する —— 当時のフィクスチャ(12Mpx×6枚×2スタック)はrepo に無く gen_testdata.py も作らない(bench_big/bench_big2/big_4000x3000 はいずれも1枚、bench_stack は 120x256x320)。器具は揃っている(--bench/--bench-step 24569/--compare split|off 23613/--no-ab-throttle 23538)ので、フィクスチャを足せば実測は15分。なお 300ms 自体はキーリピート検知の窓であって性能値ではない(8228-8231)  /  【再測定 2026-08-05】同一マシン・--bench 300 --bench-step --bench-panels、3回平均の median: off 12.2-12.6ms / throttleあり 12.6-12.8ms / throttleなし 24.5ms。throttle は 1 ステップあたり約 11.8ms（41→78fps）を消す。f424dae の 11.91/12.22/23.95ms とほぼ一致しており「比較対象のコストが変わった」後も結論は変わらない。当時の測定が再現できなかった真因はフィクスチャ不在とba40ba8（scripted run が layout.ini を読まなくなった結果、Histogram/Temporal がタブの裏に隠れて描画されない）の2つ。300ms は従来どおりキーリピート検知の窓であって性能値ではない
対応済み,prefs副窓読み取り専用,最小対処。完全なマージ戦略は後  ── 調べた結果、暫定ではなく決着済みの設計だった。core/main.cpp:6306-6314 に理由がある: prefs.txt は1ファイルで last-writer-wins なので、副窓が終了時に保存すると主窓が残したかったものを上書きする。だから副窓は読むだけで、それを1回だけログに言う(トーストではなくログ —— 出来事ではなく説明だから)。『副窓ごとに設定を持ちたい』なら、それは Preferences パネルの行の一部,core/main.cpp:6306-6314,dc426c8,【2026-08-04 指示】何だっけ? ← 要説明  /  【2026-08-04】『何だっけ?』への回答。閉じる
対応済み,uiSession共有,複数Browseで異ホスト交互openは接続張り直し(最後勝ち)  ── 解決済み。問題だったのは app.remoteSession + app.sesMtx の共有で、6683352(browse-instances)が解体している。今の所有規則は core/main.cpp:705-714: インスタンスごとに Session 1つ・ワーカー1つ、『Session 1つに所有スレッド1つ』が『見ている場所ごと』に一般化された。app.uiSession は UI スレッド専用で、理由は core/main.cpp:10990 —— 1本の ssh stdin に2スレッドが要求を組むとストリームが恒久的に同期を失う,"core/main.cpp:705-714, 10990",,参照/多窓設計と関連  /  【2026-08-04 指示】何だっけ? ← 要説明  /  【2026-08-04】『何だっけ?』への回答。閉じる
対応済み,A/B 差分のオートゲインがセンサーの半分しか読んでいなかった(f35a79e の最後の残り),f35a79e が histogram と ROI 統計で直した欠陥の、最後の生き残り。1次元の画素インデックスを刻んで折り返す(x = p % w)ので、step と w がともに偶数になった瞬間 —— センサー幅は事実上必ず偶数 —— x が偶数のままになり奇数列を一度も訪れない。RGGB なら R と Gb だけにサンプルが付き、Gr と B はゼロ。ensureDiffTexture のオートスケールが同じループを持っていて未監査だった。実測(f35a79e が確立した解像度の梯子で): 1920x1080 step 10 → 4面中2面、2000x1000 step 10 → 2面、2048x2048 step 20 → 2面、800x500 step 2 → 2面、4096x3000 step 61 → 4面(元から奇数なので変化なし)。つまり A/B 差分表示全体の階調を決める 99.9 パーセンタイルが、日常的な解像度でセンサーの半分から決まっていた。step を奇数に強制すると全ての列パリティ、ひいては全ての行パリティを歩く。もう1箇所(core/main.cpp:9820)は nPl == 1 の枝の中なので構造的に安全 —— 落とす面が無い,"core/main.cpp:2162 ensureDiffTexture, 9820(安全), f35a79e",2d76252 (main),【2026-08-04】『何だっけ?』を追った結果、行が指していたのは実在するバグだった。測定値ではなく表示スケーリングなので f35a79e 本体より軽いが、機序は同一
対応済み,abstats A2 は間欠ではなく決定的に落ちる。隔離テストが別のものを測っていた,--cfa bayer併用時のB σ_t 1e-6不一致(スイート外),"temporal agent記録, CMakeLists.txt selftest.abstats-cfa-bayer",6308888 (引数順のみ。欠陥自体は未修正),原因未調査。CIでは DISABLED で隔離(名前つき・run_selftests.sh が毎回出力)。assertは一切緩めていない。MinGW+merged main では10/10 PASSするため、修正済みか間欠かの切り分け待ち  /  【2026-08-04 指示】解決済? ← 要確認  /  【検証 2026-08-04】間欠ではない。正しい引数順 --abstats-selftest tools/testdata/multi --cfa bayer で 20/20 失敗。CMakeLists.txt は --abstats-selftest の直後に --cfa を置いており、next() が次語を無条件に取る(core/main.cpp:23579)ため --cfa がディレクトリ引数になり CFA が一切効いていなかった —— 隔離テストは series=1 で、CFA 無し実行と A2 の数値がバイト一致、しかも兄弟フィクスチャを'.' に対して解決して 12件の assert を黙って落としていた。『10/10 PASS』はそのため真実で無意味だった。捕捉した assert(docs/diagnostics/abstats-cfa-bayer-20260804.txt): sigma_t 25.0045948567(キャッシュ)vs 25.0850055866(独立再計算)、相対 3.2e-3 = 許容 1e-6 の3200倍。キャッシュ側は CFA OFF のときの値と完全一致し、同じ実行の P3 は正しい 25.0850056 を出す → temporal[1] のキャッシュキーが CFA を含まない疑いで、『TemporalStateキー欠陥』の行と同根。6308888 で引数順を直した(隔離は維持)ので、隔離を解けば名前どおりのものを測る  /  【棚卸し 2026-08-10】PR #119 で決着。原因はキャッシュではなくテスト自身(refSigmaT が4つの CFA プレーンを1つに混ぜていた)。assert は緩めず1つの数を4プレーン分に増やし、隔離を解除して 10/10 実証。スイートの隔離はゼロになった
対応済み,平坦統計仕様の凍結解除 — 推定量まで確定(#57),解析項目の分類を整えてから落ち着いてレビュー(ユーザー指示7/31),flat-field-stats.md,https://github.com/klimemam/viewer/issues/57,"実装凍結中  /  【2026-08-04 指示】継続課題  /  【確定 2026-08-09 PR #105 bcccec2】判断7件を推奨どおり確定(判断record 化)。B2=σ分解の表示キーは sigma_p/sigma_row/sigma_col [DN](RN/HRN/VRN はベンダで意味が逆なので列名にしない)、B4=detrend 既定は raw + shading 量の常時併記(ON 時は多項式2次・減算・プレーン別)、B5=detrend は AnalysisPreProcessor の1段のみで General パネルにオプションを付けない。σ_fpn は −mean(s_t,i²/n_i) 補正を sigma_fpn 行そのものに適用し補正量とクランプを申告、直接 PRNU は画素毎減算形、分離フィットは重みなし OLS。正典修正: analysis-layers.md §3.2「同じ蓄積器から出る同じ数」→「同じ蓄積器から出る」(補正後は同じ数ではない。食い違わない保証は名前の側が担う)。実装は別PR — うち σ_t の ddof parity は着手済み。export-design.md / stats-taxonomy.md / manual.md の σ_fpn 記述は現バイナリについて正しいので実装 PR と同時に直す(文書が実装を先回りしない)"
対応済み,『sequence』の廃止 —— 画面48箇所 + docs 8ファイル + CLI フラグの言い換え,"2026-08-04 決定:「sequence という言葉は廃止で決定」。以後 stack / series の語彙で言い切る(issue #58 は決定済みで閉)。docs/terminology.md に「使わない語: sequence」の節を足し、そこを正典にした —— 定義があるだけでは混ざる、禁じる記述が無かったのが原因、というのが今回の教訓。言い換えの規則: 読み込まれた連番の並び=stack(未オープンのブラウザ行・picker の候補行も含む)、ファイルの側だけを指すときは「連番ファイル (numbered files)」(層の名前ではない)、時間方向の並びそのものは「時間軸 (time axis)」で stack が持つもの。実際に置換したのは core/main.cpp の画面文字列 48 箇所(見積り 47)——メニュー、モーダル、ツールチップ、--help、toast、stderr のログ行。1文に両方出ていた 3 つは書き換えた: 「each checked sequence becomes its own stack」→「each checked group of numbered files becomes its own stack」、「needs a stack: load a numbered sequence first」→「... load numbered files as a stack first」、「folder: loads every numbered sequence below it, one stack per group」→「folder: loads the numbered files below it, ...」。メニュー File > Sequence loading → File > Stack loading は、それを引用する 3 つの注記と同時に変えた(片方だけだと注記が存在しないメニューを指す)。CLI は --sequence <mode> → --stack <mode> で、別名は残さず削除(残すと引退した語が --help に永久に生き続ける。手元で --sequence を使っていないことを確認済み)。呼び出し側は CMakeLists.txt の selftest 4 本(lin/framestats/export/export-tsv)、tools/verify/ab_capture.sh、tools/verify/run_ui_matrix.sh、newWindowArgv。assert を追随させたのは --newwin-selftest の N7 2 本(期待 argv とラベル)だけで、緩めた assert は無い。識別子 1383 個(seqInfo / seqQueue / app.seqs …)は画面に出ないので対象外のまま、セッションのキー(seqload/seqname/seqframe/seqlevel)は既存セッションが読めなくなるので据え置き、docs/diagnostics/*.txt は実行の記録なので書き換えない","docs/terminology.md(正典), docs/todo-open.md 項目5, core/main.cpp, CMakeLists.txt, tools/verify/*.sh",branch retire-sequence,【2026-08-04 指示】sequence という単語は廃止  /  【2026-08-04 決定】廃止。--sequence は改名して削除(別名を残さない)  /  【2026-08-04 実施】docs は terminology / manual / startup / picker-ux / export-design / verify-ui / reference-design / browse-topbar-design の 8 ファイル。tools/import/*.py の「a series is a sequence of stacks」は Python の列 (list/tuple) の意味なのでこの語彙の sequence ではなく、意図して残した
レビュー必要項目,検索結果のstack化仕様(C4),並び順=時間軸の扱いを仕様議論,todo-open #6,https://github.com/klimemam/viewer/issues/59,"【2026-08-04 指示】? ← 要判断  /  【調査 2026-08-04】通常リストは決着済み —— core/main.cpp:20767 が sortFramesNumerically(= rp::naturalLess, 9956)で並べ、20777 のツールチップが画面で『frames stack in numeric name order』と宣言している。未決は1問だけ: naturalLess はフルパスに掛かるので、複数フォルダにまたがる検索結果をフォルダ順→名前順で並べてよいか、basename 順にすべきか。σ_t は並び順に依存するので測定値が変わる。決まれば実装は1行=Fable"
レビュー必要項目,compare-n.md,N比較のあるべき姿(スロット列・A=カーソル・上限A+6),docs/compare-n.md,https://github.com/klimemam/viewer/issues/60,【2026-08-04 指示】優先度高。credit 回復待ち
レビュー必要項目,export-design.md,書出の形(セクション矩形)の追認,docs/export-design.md,https://github.com/klimemam/viewer/issues/61,【2026-08-04 指示】? ← 要判断  /  【調査 2026-08-04】文書だけでなく実装も完了 —— core/main.cpp:16595 ExportDoc、16983 から provenance ブロック、17054/17098/17136 に3セクションの見出し、17167 Copy (TSV) と 17182 Save (CSV)。文書5節が要求した --export-tsv-selftest も 23552 にあり、32467-32732 でセクション順・列数・単位を assert している。copyPerFrameStats(16717)も ExportDoc 経由に置換済み。残るのは docs/export-design.md 2節『なぜ1つの矩形に畳まないか』の追認一読のみで、コード作業は無い
対応済み,参照+Watch設計文書,執筆中→完成後に最重要レビュー,ref-design予定,,【2026-08-04 指示】マージできる? ← 要確認  /  【検証 2026-08-04】マージ対象が存在しない。docs/reference-design.md(352行)と docs/watch-design.md(207行)は 27e986c → e290c77(2026-08-02)で既に main。ref-design という branch は git branch -a に無い。両文書の §9 に 2026-08-02 確定の判断record が入っている(reference-design.md:333『もう「待ち」ではない』/ watch-design.md:168)。実装の ref-integrate@28ef105 は別の行が持っているので混同しないこと
対応済み,実機確認,見た目全般/別窓実操作/シェブロン/複数Browse/実ssh再接続/フレームリニアリティ表示,—,,GLキャプチャ不可のため全て未目視  /  【2026-08-04 指示】取り下げ(継続して使っているので)
対応済み,TemporalStateキー欠陥,キャッシュキーにdata revisionが無い(main.cpp:7027) + forgetImageがtemporalExtraを見逃す(2183),reference-design.md発見,,参照化stage 5で同時修正予定だが独立して実バグ  /  【2026-08-04 指示】Reader 側は対応したが、Series の解析 Window 仕様が未定義。Fable に相談  /  【棚卸し 2026-08-10】PR #119 で決着。両半分は参照化 stage 5 で既に修正済みだった(板の行が古かった)。同 PR で新しい実欠陥を1件修正 —— cropInPlace が doc の dataRev しか上げないため、stack の別メンバーを crop すると σ_t の対象から黙って外れていた
対応済み,.npz の key 対応,"メンバを形で分類してから開く。1次元(N,)が「高さ1pxの絵」になる捏造を停止。npz=batch/メンバ=stack、picker(画像1つ+軸候補無しなら出さない)、frame数と一致する1次元keyをTemporalと同じ軸機構へ(単位はユーザー確定)、スカラー/文字列はInspectorへ、4次元超は拒否","npz-design.md §4, V19/V19b/V19c",,リモートは未着手(プロトコル無変更)
対応済み,selftest.derive が Windows(MSVC) でのみ落ちる(D8 の直前で無出力終了),原因は std::vector の再確保をまたいだポインタ保持。D7 が App::SeqInfo* sa = seqInfo(seqA) を取り、その後 applyDerivePlan() が app.seqs.push_back() する。app.seqs は SeqInfo を値で持つので、push_back が再確保すると sa は dangling になり、その次の行 sa->remoteFiles.clear() が解放済みメモリへ書く。致命かどうかを決めるのは標準ライブラリの成長率だった: libstdc++ は2倍で要素3個のとき容量4 → 再確保せず何も起きない。MSVC は1.5倍で容量ちょうど3 → その push で再確保し、アクセス違反。『バグはどこでも同じで、見えるかどうかだけが違った』。shrink_to_fit で cap==size を強制してこの機械を MSVC と同じ挙動にし、probe が dangling=1 を出すことで再現してから直した,"core/main.cpp derive selftest D7, applyDerivePlan",branch selftest-nogl @ cc1ee8b (main 済 1828401),修正は1行(seqInfo で取り直す)+ 理由のコメント。assert は一切触っていない。CI 30868926089 で3OS success
対応済み,app.seqs の生ポインタ危険 — 監査完了、再発の性質を消した,上の MSVC バグの一般形。app.seqs は std::vector<SeqInfo> を値で持ち、seqInfo() はその中への生ポインタを返す。変更をまたいでそれを保持するコードは全部同じ地雷で、しかも踏むかどうかがアロケータの成長率で決まる —— 開発機(libstdc++、2倍成長)で見えず、配布先(MSVC、1.5倍)で落ちる種類。applyDerivePlan には既に 『src may dangle past this line』というコメントがあり、呼び出し側が守っていなかった。selftest が触る他の3箇所(26500/28707/29669)は直後に使うだけで安全と確認済み。製品コードは未監査。一般解(deque / vector<unique_ptr> / 『seqInfo の戻り値を変更をまたいで持たない』という規約)の選択は設計判断,"core/main.cpp:585 struct SeqInfo, seqInfo(), applyDerivePlan",,selftest-nogl の追跡で発覚。1件は直したが、同じ形が製品コードに無いかは誰も見ていない  /  【2026-08-04 指示】? ← 要判断  /  【調査 2026-08-04】構造は健在(core/main.cpp:634 std::vector<SeqInfo>、8207 seqInfo が &s を返す、21312 に『may dangle』コメント)。既知の1件は cc1ee8b で修正済み。今回 app.seqs を直接変える8関数(closeStack/closeAll/loadNpyBuffer/startSequenceLoad/openRemote/openRemoteStack/promotePreview/applyDerivePlan)について製品コードを走査し、同一スコープでポインタを跨いで保持する箇所は0件 —— ただし推移的呼び出し元は65関数  /  【監査+対処 2026-08-10 PR #128】変更関数を今日のツリーから再導出して9件(旧リストの openRemoteStack は委譲するだけで変更者ではない。attachRemoteStack(#117)と loadImageFile が新規。#118 の pumpRemoteFetch は frame を落とすだけで SeqInfo を触らない)。推移的到達は74関数(旧記録65の再測定値)、ポインタ/参照束縛は製品69+selftest48、そのうち生存区間に変更呼び出しを含むものは0 — 危険な経路は実在しなかった。最も危なく見えた drawStackRow の245行にわたる si は、破壊的メニューが全て pending* に id を書き実際の変更が行の走査後に起きるため安全。applyDerivePlan は自分の push_back の前に srcName をコピーしており、コメントは警告であってバグではなかった。対処はリファクタではなく規約+歯: app.seqs を App::SeqTable にして変更者を厳密に3つへ限定(手で数え直さずに列挙可能)、3つとも必ず再確保するので変更のたび全ての SeqInfo* が無条件に無効化される —— cc1ee8b が3週間見えなかった原因はアロケータの成長率だったので、その性質自体を消した。退去要素は毒入りで古い読み取りが判読可能に壊れる。結果としてスイート36本が動的監査になる。deque / vector<unique_ptr> は判断項目として PR に残置(ポインタを有効に保つ方向なので、この対処とは逆向きの代替案)あり、テキスト検査で届くのは浅い層だけ。deque は不可(closeStack が core/main.cpp:3217 で中間 erase する)。選択肢は vector<unique_ptr> か『seqInfo の戻り値を変更をまたいで持たない』規約+selftest=Fable
対応済み,Messages パネルが 300 件目以降で更新を止める,msgLog は 300 件で上限を打つが、表示側のキャッシュキーが msgLog.size() になっている。上限に達すると size() が 300 のまま動かなくなるので、以後どれだけメッセージが来てもキーが変わらず、パネルは 300 件目の状態で凍る。エラーが出続けている時ほど見えなくなる、という一番まずい向きの壊れ方。加えて msgLog.push_back を直接呼ぶ3箇所が上限処理を素通りしており、そこ経由だと 300 を超えて伸びる。キーを単調増加のカウンタにするのが直し方  ── 直した(71714b1): キャッシュキーを単調増加の App::msgSeq に変更。push_back 直呼び3箇所は logMsg() に集約 —— うち1箇所は直前の toast() が入れた同じ文字列をもう一度入れており、パネルに二重に出ていた。V26 プローブを追加し、バグに当てて確認済み: キーを msgLog.size() に戻すと『one more message invalidates the panel's cache』が落ちる,core/main.cpp Messages パネル / msgLog,71714b1 (main),外部PR #7 が同じ場所を触っていたが、上限付き push を toast() に再インラインするため衝突。#7 側を採ると上限素通りが黙って戻るので却下・クローズ
